date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,rate,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2021-01-05,303.3789367675781,0.008244051929464202,-0.005991972640464582,-0.0026224860192269883,0.004582867225087162,0.026769107526339653,1.3498391313053708,0.09,320719.39318643673,199246.58972252707,519965.9829089638,0.6168084138738527,0.38019304243355506,0.38019304243355506,0,1,0
2021-01-06,299.1763610839844,-0.013852562502760013,-0.005722711817924719,-0.017318841356923187,-0.006329707327055845,0.008436026864852009,1.3306770386220605,0.09,307376.3121873951,199247.30131749035,506623.61350488546,0.6067153286853871,0.4031875536535274,0.4031875536535274,0,1,0
2021-01-07,306.4140930175781,0.024192191880968883,0.01000450552809884,0.006422289168401152,0.019616849195351227,0.0270169725259084,1.3623946265828504,0.09,329668.83977029094,199248.01291499502,528916.852685286,0.6232904814746926,0.3651264481005796,0.3651264481005796,0,1,0
2021-01-08,310.3539733886719,0.012858025987948718,0.03736128170082842,0.016861434607796655,0.029926538702610195,0.03671324411881138,1.3794319931409902,0.09,342369.11030953494,199248.72451504113,541617.834824576,0.6321230363849161,0.34468160823081184,0.34468160823081184,0,1,0
2021-01-11,305.869384765625,-0.01444991528247841,-0.001777686680755508,0.016520761602931255,0.02018188902546414,0.04540190082023976,1.3580801118972219,0.09,327511.80713355745,199249.43611762868,526761.2432511861,0.621746211076853,0.3703038657233338,0.3703038657233338,0,1,0
2021-01-12,305.3829040527344,-0.001590485145361642,-0.016017418052231558,0.006605492479168085,0.014084388574764128,0.03956443951147848,1.3554481182425124,0.09,325933.4854915396,199250.14772275765,525183.6332142972,0.6206086116901988,0.37346225810898515,0.37346225810898515,0,1,0
2021-01-13,307.4452514648437,0.006753316524074959,0.005152090329099801,0.027638849375997587,0.010745781689250444,0.04890811944499229,1.3641268789315033,0.09,332520.95225333766,199250.85933042807,531771.8115837658,0.6253075943664574,0.3630477452821961,0.3630477452821961,0,1,0
2021-01-14,305.80126953125,-0.005347234754027985,0.0013699702012244241,-0.001999984662236054,0.004441476487960783,0.03578405074883895,1.356360267241058,0.09,327171.07654079254,199251.57094063994,526422.6474814324,0.6214988623800276,0.3723676793107305,0.3723676793107305,0,1,0
2021-01-15,303.3789367675781,-0.007921264576124742,-0.013226142468915514,-0.022474455683409444,-0.003546733049299311,0.016711460676777312,1.345147778026474,0.09,319380.9508097696,199252.28255339328,518633.2333631629,0.6158127367555895,0.38582266636823126,0.38582266636823126,0,1,0
2021-01-19,307.80517578125,0.014589803302866855,0.0065529690346666225,0.006328815867296722,0.008510408960181959,0.025902873784416913,1.3628739350036516,0.09,333344.09791229846,199252.99416868808,532597.0920809866,0.6258841868810096,0.3645512779956181,0.3645512779956181,0,1,0
